Country,Alpha-3 code,Region,Happiness Score,GD 2015,GI 2015
Afghanistan,AFG,Southern Asia,3.575,0.609,0.667
Albania,ALB,Central and Eastern Europe,4.959,0.9590000000000001,0.267
Algeria,DZA,Middle East and Northern Africa,5.605,0.8540000000000001,0.429
Armenia,ARM,Central and Eastern Europe,4.35,0.993,0.293
Australia,AUS,Australia and New Zealand,7.284,0.978,0.12
Austria,AUT,Western Europe,7.2,0.9570000000000001,0.078
Azerbaijan,AZE,Central and Eastern Europe,5.212000000000001,0.94,0.326
Bahrain,BHR,Middle East and Northern Africa,5.96,0.97,0.233
Bangladesh,BGD,Southern Asia,4.694,0.927,0.52
Belarus,BLR,Central and Eastern Europe,5.813,1.021,0.14400000000000002
Belgium,BEL,Western Europe,6.937,0.978,0.073
Benin,BEN,Sub-Saharan Africa,3.34,0.858,0.613
Bhutan,BTN,Southern Asia,5.252999999999999,0.9,0.47700000000000004
Bolivia,BOL,Latin America and Caribbean,5.89,0.934,0.446
Bosnia and Herzegovina,BIH,Central and Eastern Europe,4.949,0.9229999999999999,0.158
Botswana,BWA,Sub-Saharan Africa,4.332,0.9840000000000001,0.435
Brazil,BRA,Latin America and Caribbean,6.983,1.005,0.414
Bulgaria,BGR,Central and Eastern Europe,4.218,0.9840000000000001,0.223
Burkina Faso,BFA,Sub-Saharan Africa,3.5869999999999997,0.8740000000000001,0.615
Burundi,BDI,Sub-Saharan Africa,2.905,0.919,0.474
Cambodia,KHM,Southeastern Asia,3.819,0.892,0.479
Cameroon,CMR,Sub-Saharan Africa,4.252,0.853,0.568
Canada,CAN,North America,7.4270000000000005,0.983,0.098
Chad,TCD,Sub-Saharan Africa,3.667,0.765,0.695
Chile,CHL,Latin America and Caribbean,6.67,0.966,0.322
China,CHN,Eastern Asia,5.14,0.9540000000000001,0.16399999999999998
Colombia,COL,Latin America and Caribbean,6.477,1.004,0.39299999999999996
Congo (Brazzaville),COG,Sub-Saharan Africa,3.989,0.932,0.5920000000000001
Congo (Kinshasa),COD,Sub-Saharan Africa,4.5169999999999995,0.8320000000000001,0.6629999999999999
Costa Rica,CRI,Latin America and Caribbean,7.226,0.9690000000000001,0.308
Croatia,HRV,Central and Eastern Europe,5.7589999999999995,0.997,0.141
Cyprus,CYP,Western Europe,5.689,0.9790000000000001,0.11599999999999999
Czech Republic,CZE,Central and Eastern Europe,6.505,0.9840000000000001,0.129
Denmark,DNK,Western Europe,7.527,0.97,0.040999999999999995
Dominican Republic,DOM,Latin America and Caribbean,4.885,0.99,0.47
Ecuador,ECU,Latin America and Caribbean,5.975,0.976,0.391
El Salvador,SLV,Latin America and Caribbean,6.13,0.958,0.384
Estonia,EST,Central and Eastern Europe,5.428999999999999,1.032,0.131
Ethiopia,ETH,Sub-Saharan Africa,4.512,0.8420000000000001,0.499
Finland,FIN,Western Europe,7.406000000000001,1.0,0.055999999999999994
France,FRA,Western Europe,6.575,0.988,0.102
Gabon,GAB,Sub-Saharan Africa,3.8960000000000004,0.9229999999999999,0.542
Georgia,GEO,Central and Eastern Europe,4.297,0.97,0.361
Germany,DEU,Western Europe,6.75,0.9640000000000001,0.066
Ghana,GHA,Sub-Saharan Africa,4.633,0.899,0.547
Greece,GRC,Western Europe,4.857,0.9570000000000001,0.11900000000000001
Guatemala,GTM,Latin America and Caribbean,6.122999999999999,0.9590000000000001,0.494
Honduras,HND,Latin America and Caribbean,4.788,0.9420000000000001,0.461
Hungary,HUN,Central and Eastern Europe,4.8,0.988,0.252
Iceland,ISL,Western Europe,7.561,0.965,0.051
India,IND,Southern Asia,4.565,0.8190000000000001,0.53
Indonesia,IDN,Southeastern Asia,5.399,0.9259999999999999,0.467
Iran,IRN,Middle East and Northern Africa,4.686,0.862,0.509
Iraq,IRQ,Middle East and Northern Africa,4.677,0.804,0.525
Ireland,IRL,Western Europe,6.94,0.976,0.127
Israel,ISR,Middle East and Northern Africa,7.278,0.973,0.10300000000000001
Italy,ITA,Western Europe,5.9479999999999995,0.963,0.085
Jamaica,JAM,Latin America and Caribbean,5.709,0.975,0.42200000000000004
Japan,JPN,Eastern Asia,5.987,0.97,0.11599999999999999
Jordan,JOR,Middle East and Northern Africa,5.192,0.8640000000000001,0.478
Kazakhstan,KAZ,Central and Eastern Europe,5.855,1.006,0.20199999999999999
Kenya,KEN,Sub-Saharan Africa,4.419,0.919,0.565
Kuwait,KWT,Middle East and Northern Africa,6.295,0.972,0.335
Kyrgyzstan,KGZ,Central and Eastern Europe,5.2860000000000005,0.9670000000000001,0.39399999999999996
Laos,LAO,Southeastern Asia,4.876,0.924,0.46799999999999997
Latvia,LVA,Central and Eastern Europe,5.098,1.025,0.191
Lebanon,LBN,Middle East and Northern Africa,4.8389999999999995,0.893,0.381
Lesotho,LSO,Sub-Saharan Africa,4.898,0.9620000000000001,0.5489999999999999
Liberia,LBR,Sub-Saharan Africa,4.571000000000001,0.83,0.649
Libya,LBY,Middle East and Northern Africa,5.754,0.95,0.16699999999999998
Lithuania,LTU,Central and Eastern Europe,5.832999999999999,1.032,0.121
Luxembourg,LUX,Western Europe,6.946000000000001,0.966,0.075
Macedonia,MKD,Central and Eastern Europe,5.007,0.9470000000000001,0.16
Malawi,MWI,Sub-Saharan Africa,4.292,0.9209999999999999,0.614
Mali,MLI,Sub-Saharan Africa,3.995,0.7859999999999999,0.6890000000000001
Malta,MLT,Western Europe,6.3020000000000005,0.9229999999999999,0.217
Mauritania,MRT,Sub-Saharan Africa,4.436,0.818,0.627
Mauritius,MUS,Sub-Saharan Africa,5.477,0.9540000000000001,0.38
Mexico,MEX,Latin America and Caribbean,7.187,0.951,0.345
Moldova,MDA,Central and Eastern Europe,5.888999999999999,1.01,0.23199999999999998
Mongolia,MNG,Eastern Asia,4.874,1.026,0.278
Montenegro,MNE,Central and Eastern Europe,5.192,0.955,0.156
Morocco,MAR,Middle East and Northern Africa,5.013,0.826,0.494
Mozambique,MOZ,Sub-Saharan Africa,4.971,0.879,0.574
Nepal,NPL,Southern Asia,4.513999999999999,0.925,0.49700000000000005
Netherlands,NLD,Western Europe,7.377999999999999,0.946,0.044000000000000004
New Zealand,NZL,Australia and New Zealand,7.2860000000000005,0.963,0.158
Nicaragua,NIC,Latin America and Caribbean,5.827999999999999,0.961,0.462
Niger,NER,Sub-Saharan Africa,3.845,0.732,0.695
Norway,NOR,Western Europe,7.522,0.993,0.053
Oman,OMN,Middle East and Northern Africa,6.853,0.927,0.281
Pakistan,PAK,Southern Asia,5.194,0.741,0.546
Panama,PAN,Latin America and Caribbean,6.7860000000000005,0.997,0.457
Paraguay,PRY,Latin America and Caribbean,5.877999999999999,0.966,0.46399999999999997
Peru,PER,Latin America and Caribbean,5.824,0.9590000000000001,0.385
Philippines,PHL,Southeastern Asia,5.073,1.001,0.436
Poland,POL,Central and Eastern Europe,5.791,1.006,0.13699999999999998
Portugal,PRT,Western Europe,5.102,0.98,0.091
Qatar,QAT,Middle East and Northern Africa,6.611000000000001,0.991,0.542
Romania,ROU,Central and Eastern Europe,5.124,0.99,0.33899999999999997
Russia,RUS,Central and Eastern Europe,5.716,1.016,0.271
Rwanda,RWA,Sub-Saharan Africa,3.465,0.992,0.38299999999999995
Saudi Arabia,SAU,Middle East and Northern Africa,6.4110000000000005,0.882,0.257
Senegal,SEN,Sub-Saharan Africa,3.904,0.8859999999999999,0.521
Serbia,SRB,Central and Eastern Europe,5.122999999999999,0.9690000000000001,0.185
Sierra Leone,SLE,Sub-Saharan Africa,4.507,0.871,0.65
Singapore,SGP,Southeastern Asia,6.797999999999999,0.985,0.068
Slovakia,SVK,Central and Eastern Europe,5.995,0.991,0.18
Slovenia,SVN,Central and Eastern Europe,5.848,1.003,0.053
South Africa,ZAF,Sub-Saharan Africa,4.6419999999999995,0.9620000000000001,0.39399999999999996
South Korea,KOR,Eastern Asia,5.984,0.929,0.067
Spain,ESP,Western Europe,6.329,0.9740000000000001,0.081
Sri Lanka,LKA,Southern Asia,4.271,0.934,0.386
Sudan,SDN,Sub-Saharan Africa,4.55,0.8390000000000001,0.575
Suriname,SUR,Latin America and Caribbean,6.269,0.972,0.44799999999999995
Swaziland,SWZ,Sub-Saharan Africa,4.867,0.853,0.5660000000000001
Sweden,SWE,Western Europe,7.364,0.997,0.048
Switzerland,CHE,Western Europe,7.587000000000001,0.9740000000000001,0.04
Syria,SYR,Middle East and Northern Africa,3.0060000000000002,0.851,0.5539999999999999
Tajikistan,TJK,Central and Eastern Europe,4.7860000000000005,0.93,0.322
Tanzania,TZA,Sub-Saharan Africa,3.781,0.937,0.544
Thailand,THA,Southeastern Asia,6.455,1.001,0.366
Togo,TGO,Sub-Saharan Africa,2.839,0.841,0.556
Trinidad and Tobago,TTO,Latin America and Caribbean,6.167999999999999,1.004,0.324
Tunisia,TUN,Middle East and Northern Africa,4.739,0.904,0.289
Turkey,TUR,Middle East and Northern Africa,5.332000000000001,0.9079999999999999,0.32799999999999996
Uganda,UGA,Sub-Saharan Africa,3.931,0.878,0.522
Ukraine,UKR,Central and Eastern Europe,4.681,1.0,0.284
United Arab Emirates,ARE,Middle East and Northern Africa,6.901,0.972,0.23199999999999998
United Kingdom,GBR,Western Europe,6.867000000000001,0.9640000000000001,0.131
United States,USA,North America,7.119,0.993,0.203
Uruguay,URY,Latin America and Caribbean,6.485,1.0170000000000001,0.284
Uzbekistan,UZB,Central and Eastern Europe,6.002999999999999,0.946,0.287
Venezuela,VEN,Latin America and Caribbean,6.81,1.028,0.461
Vietnam,VNM,Southeastern Asia,5.36,1.01,0.337
Yemen,YEM,Middle East and Northern Africa,4.077,0.737,0.767
Zambia,ZMB,Sub-Saharan Africa,5.129,0.924,0.526
Zimbabwe,ZWE,Sub-Saharan Africa,4.61,0.927,0.54
